City_ID,City,Country,Max Temp,Lat,Lng,Hotel Name
369,Kushima,JP,48.24,31.4583,131.2333,Shibushiwan Daikoku Resort Hotel
372,Olinda,BR,78.53,-8.0089,-34.8553,Hotel Albergue de Olinda
373,Teguise,ES,62.82,29.0605,-13.564,Hotel Beatriz Costa & Spa
374,Chilca,PE,74.61,-12.5211,-76.7372,Costa del Mar
375,Kainantu,PG,75.4,-6.2887,145.8655,Sylvester buku
376,Cayenne,GF,79.09,4.9333,-52.3333,Hôtel Le Dronmi
377,Burnie,AU,70.95,-41.0667,145.9167,Beachfront Voyager Motor Inn
378,Lawrenceburg,US,23.02,38.0373,-84.8966,Best Western Lawrenceburg Inn
379,Makakilo City,US,78.69,21.3469,-158.0858,Marriott's Ko Olina Beach Club
380,Graaff-Reinet,ZA,58.93,-32.2522,24.5308,Rietjiesbos Self Catering
381,Eirunepe,BR,76.91,-6.6603,-69.8736,Atrás de você
382,Alexandria,EG,51.8,31.2156,29.9553,Alexander the Great Hotel-Alexotel Apartments
383,Nauta,PE,76.05,-4.5061,-73.5757,Amazon Exploring Expedition - Eretzen Tá Lodge
384,Barvinkove,UA,26.06,48.9097,37.0205,"Khostel ""Fortetsya"""
385,Ha Giang,VN,57.27,22.8333,104.9833,Truong Xuan Resort
386,Wilmington,US,30.92,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
387,Kalmunai,LK,75.79,7.4167,81.8167,VS Villa
389,San Buenaventura,MX,57.47,27.0833,-101.5333,Hotel Gran Plaza
390,Griffith,US,22.12,41.5284,-87.4237,"Motel 6 Hammond, IN - Chicago Area"
391,Balabac,PH,81.9,7.9868,117.0645,Sing and Swing Lodge
396,Primorsk,UA,29.77,46.7348,36.3443,Relax
397,Rapid Valley,US,45.14,44.0625,-103.1463,Fairfield Inn & Suites by Marriott Rapid City
398,Padang,ID,75.25,-0.9492,100.3543,Mercure Padang
399,Ayagoz,KZ,13.89,47.9714,80.4392,Gostinitsa Nur
400,Yaan,NG,77.38,7.3833,8.5667,Father's garden
401,Sabang,ID,81.9,5.8933,95.3214,Gapang Beach Resort
402,Parbhani,IN,58.1,19.2667,76.7833,Hotel Radhika Place City Palace
403,Port Shepstone,ZA,72.01,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
404,Straumen,NO,37.4,63.8709,11.2999,Jægtvolden Fjordhotell
405,Moradabad,IN,46.62,28.8333,78.7833,SPOT ON 37757 Hotel Paradise
406,Ayni,TJ,24.21,39.3941,68.5377,Меҳмонхона СУҒД
408,Mtwara,TZ,75.43,-10.2667,40.1833,TIL Hotels Mtwara
410,Apollonia,GR,53.26,36.9716,24.7231,Hotel Boulis Ξενοδοχείο
412,Gizo,SB,83.95,-8.103,156.8419,Imagination Island
413,Moranbah,AU,83.77,-22.0016,148.0466,Direct Hotels - Monterey Moranbah
415,Kisangani,CD,67.6,0.5167,25.2,Grand Ramela Hotel
416,Alta Floresta,BR,69.51,-9.8756,-56.0861,Floresta Amazonica Hotel
418,Correntina,BR,68.11,-13.3433,-44.6367,Hotel Pousada dos Sonhos
419,Devgarh,IN,53.73,25.5333,73.9,Deogarh Mahal
420,Valparaiso,CL,67.48,-33.0393,-71.6273,Hotel Ultramar
421,Sibolga,ID,77.02,1.7427,98.7792,Hotel Syariah CN Darussalam
422,Progreso,MX,67.1,21.2833,-89.6667,Playa Linda Hotel
423,Grand Gaube,MU,79.2,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
424,Murindo,CO,73.69,6.9848,-76.7544,Hotel Mi Gualú
425,Northam,GB,43.39,51.0333,-4.2167,Durrant House Hotel
426,Garowe,SO,63.95,8.4054,48.4845,Curubo Hotel
427,Yaroslavskaya,RU,26.89,44.6106,40.4642,"""Zolotaya Rybka"", Termal'nyy Istochnik"
428,Hof,DE,41.95,50.3167,11.9167,Hotel Burghof
429,Bubaque,GW,78.62,11.2833,-15.8333,0
430,Banjarmasin,ID,82.54,-3.3244,114.591,Swiss-Belhotel Borneo Banjarmasin
431,San Juan Bautista,PE,65.03,-14.0108,-75.7358,Hotel Las Dunas
432,Beira,MZ,77.09,-19.8436,34.8389,Beira Terrace Hotel
433,Alyangula,AU,83.28,-13.8483,136.4192,Groote Eylandt Lodge
434,Brandfort,ZA,64.56,-28.7001,26.4597,SUMFRA GUESTHOUSE
435,Avrille,FR,46.94,47.5,-0.5833,Hôtel le Continental
436,San Andres,CO,80.62,12.5847,-81.7006,Hotel Arena Blanca
437,Narasannapeta,IN,60.51,18.4167,84.05,Alikam Meeseva
438,Los Llanos De Aridane,ES,58.75,28.6585,-17.9182,Valle Aridane
439,Constantine,DZ,33.21,36.365,6.6147,Grand Hotel Cirta
440,Kawit,PH,84.97,14.45,120.9,Mount Sea Resort
442,Obregon,NI,84.29,11.9566,-85.9636,Hostal Casa Aryen
443,Vila Velha,BR,80.55,-20.3297,-40.2925,Quality Suites Vila Velha
444,Atar,MR,72.32,20.5169,-13.0499,Oumou Elghoura
